site_id|site_name|corridor|region|time_bin|time_label|period_type|total_vol|low_speed_share_pct
192|M1 Outbound - CH 24900|M1 Monash/West Gate Fwy|Greater Melbourne|16:15:00|16:15-16:30|PM Peak|147539|80.07
332|PFW 310m East of High Street/Newland St Entry Exit Ramps (OB)|Princes Fwy West|Greater Melbourne|17:15:00|17:15-17:30|PM Peak|133103|80.05
146|M1 Inbound - CH 17000|M1 Monash/West Gate Fwy|Greater Melbourne|08:15:00|08:15-08:30|AM Peak|116058|80.05
311|PFW 780m East of High Street/Newland St Entry Exit Ramps (IB)|Princes Fwy West|Greater Melbourne|07:45:00|07:45-08:00|AM Peak|113917|80.05
292|PFW 1280m West of Kororoit Creek Road (IB)|Princes Fwy West|Greater Melbourne|08:00:00|08:00-08:15|AM Peak|115863|80.02
225|M80 - WRR East of Kathryn St GB|M80 Ring Road|Greater Melbourne|16:30:00|16:30-16:45|PM Peak|99494|80.02
192|M1 Outbound - CH 24900|M1 Monash/West Gate Fwy|Greater Melbourne|16:30:00|16:30-16:45|PM Peak|140741|79.95
176|M1 Inbound - CH 20770|M1 Monash/West Gate Fwy|Greater Melbourne|07:45:00|07:45-08:00|AM Peak|99367|79.95
225|M80 - WRR East of Kathryn St GB|M80 Ring Road|Greater Melbourne|15:45:00|15:45-16:00|PM Peak|98319|79.94
142|M1 Inbound - CH 15860|M1 Monash/West Gate Fwy|Greater Melbourne|07:45:00|07:45-08:00|AM Peak|99464|79.93
25|M1 Outbound - Under Power Rd Overpass|M1 Monash/West Gate Fwy|Greater Melbourne|16:45:00|16:45-17:00|PM Peak|150963|79.92
332|PFW 310m East of High Street/Newland St Entry Exit Ramps (OB)|Princes Fwy West|Greater Melbourne|16:15:00|16:15-16:30|PM Peak|136351|79.92
142|M1 Inbound - CH 15860|M1 Monash/West Gate Fwy|Greater Melbourne|08:00:00|08:00-08:15|AM Peak|98965|79.92
25|M1 Outbound - Under Power Rd Overpass|M1 Monash/West Gate Fwy|Greater Melbourne|16:30:00|16:30-16:45|PM Peak|150737|79.90
25|M1 Outbound - Under Power Rd Overpass|M1 Monash/West Gate Fwy|Greater Melbourne|17:00:00|17:00-17:15|PM Peak|148958|79.87
311|PFW 780m East of High Street/Newland St Entry Exit Ramps (IB)|Princes Fwy West|Greater Melbourne|07:30:00|07:30-07:45|AM Peak|115511|79.85
