time_bin|hour_of_day|minute_of_hour|time_label|period_type|is_am_peak|is_pm_peak|is_peak
15:00:00|15|0|15:00-15:15|PM Peak|0|1|1
15:15:00|15|15|15:15-15:30|PM Peak|0|1|1
15:30:00|15|30|15:30-15:45|PM Peak|0|1|1
15:45:00|15|45|15:45-16:00|PM Peak|0|1|1
16:00:00|16|0|16:00-16:15|PM Peak|0|1|1
16:15:00|16|15|16:15-16:30|PM Peak|0|1|1
16:30:00|16|30|16:30-16:45|PM Peak|0|1|1
16:45:00|16|45|16:45-17:00|PM Peak|0|1|1
17:00:00|17|0|17:00-17:15|PM Peak|0|1|1
17:15:00|17|15|17:15-17:30|PM Peak|0|1|1
17:30:00|17|30|17:30-17:45|PM Peak|0|1|1
17:45:00|17|45|17:45-18:00|PM Peak|0|1|1
18:00:00|18|0|18:00-18:15|Off-peak|0|0|0
18:15:00|18|15|18:15-18:30|Off-peak|0|0|0
18:30:00|18|30|18:30-18:45|Off-peak|0|0|0
18:45:00|18|45|18:45-19:00|Off-peak|0|0|0
19:00:00|19|0|19:00-19:15|Off-peak|0|0|0
19:15:00|19|15|19:15-19:30|Off-peak|0|0|0
19:30:00|19|30|19:30-19:45|Off-peak|0|0|0
19:45:00|19|45|19:45-20:00|Off-peak|0|0|0
20:00:00|20|0|20:00-20:15|Off-peak|0|0|0
20:15:00|20|15|20:15-20:30|Off-peak|0|0|0
20:30:00|20|30|20:30-20:45|Off-peak|0|0|0
20:45:00|20|45|20:45-21:00|Off-peak|0|0|0
21:00:00|21|0|21:00-21:15|Off-peak|0|0|0
21:15:00|21|15|21:15-21:30|Off-peak|0|0|0
21:30:00|21|30|21:30-21:45|Off-peak|0|0|0
21:45:00|21|45|21:45-22:00|Off-peak|0|0|0
22:00:00|22|0|22:00-22:15|Off-peak|0|0|0
22:15:00|22|15|22:15-22:30|Off-peak|0|0|0
22:30:00|22|30|22:30-22:45|Off-peak|0|0|0
22:45:00|22|45|22:45-23:00|Off-peak|0|0|0
23:00:00|23|0|23:00-23:15|Off-peak|0|0|0
23:15:00|23|15|23:15-23:30|Off-peak|0|0|0
23:30:00|23|30|23:30-23:45|Off-peak|0|0|0
23:45:00|23|45|23:45-00:00|Off-peak|0|0|0
