site_id|site_name|road_name|corridor|latitude|longitude|region|is_active_in_data|notes|is_core
141|Tullamarine FWY Outbound - Before Mickleham Rd Exit (NB)||Tullamarine Fwy|-37.6951510|144.8856680|Greater Melbourne|1||1
142|M1 Inbound - CH 15860||M1 Monash/West Gate Fwy|-37.8843465|145.0934516|Greater Melbourne|1||1
143|M1 Outbound - CH 15860||M1 Monash/West Gate Fwy|-37.8839710|145.0935320|Greater Melbourne|1||1
144|M1 Inbound - CH 16520||M1 Monash/West Gate Fwy|-37.8857851|145.1010754|Greater Melbourne|1||1
145|M1 Outbound - CH 16520||M1 Monash/West Gate Fwy|-37.8853602|145.1011766|Greater Melbourne|1||1
146|M1 Inbound - CH 17000||M1 Monash/West Gate Fwy|-37.8866007|145.1063984|Greater Melbourne|1||1
147|M1 Outbound - CH 17000||M1 Monash/West Gate Fwy|-37.8861410|145.1065150|Greater Melbourne|1||1
148|M1 Inbound - CH 17390||M1 Monash/West Gate Fwy|-37.8874305|145.1106778|Greater Melbourne|1||1
149|M1 Outbound - CH 17390||M1 Monash/West Gate Fwy|-37.8870420|145.1108716|Greater Melbourne|1||1
15|M1 Outbound - First after Stud Rd onramp||M1 Monash/West Gate Fwy|-37.9616730|145.2283660|Greater Melbourne|1||0
150|Tullamarine FWY Inbound - Mickleham Rd On Ramp (SB)||Tullamarine Fwy|-37.6925110|144.8838650|Greater Melbourne|0||0
151|Tullamarine FWY Outbound - Mickleham Rd Exit Bullnose (NB)||Tullamarine Fwy|-37.6925820|144.8837150|Greater Melbourne|1||0
152|Tullamarine FWY Inbound - Before Mickleham Rd (SB)||Tullamarine Fwy|-37.6885000|144.8800790|Greater Melbourne|0||0
153|Tullamarine FWY Outbound - After Mickleham Rd Exit (NB)||Tullamarine Fwy|-37.6885460|144.8797960|Greater Melbourne|1||0
154|Tullamarine FWY Inbound - Before Mickleham Rd Exit (SB)||Tullamarine Fwy|-37.6858860|144.8767970|Greater Melbourne|0||0
155|Tullamarine FWY Outbound - After Mickleham Rd Exit (NB)||Tullamarine Fwy|-37.6861860|144.8768330|Greater Melbourne|1||0
156|Tullamarine FWY Inbound - Before Mickleham Rd (SB)||Tullamarine Fwy|-37.6834220|144.8737010|Greater Melbourne|1||1
157|Tullamarine FWY Outbound - Before Airport Long-Term (NB)||Tullamarine Fwy|-37.6836980|144.8736970|Greater Melbourne|1||1
158|Tullamarine FWY Inbound - A1 Airport Parking (SB)||Tullamarine Fwy|-37.6805140|144.8699850|Greater Melbourne|1||1
159|Tullamarine FWY Outbound - Before Terminal Dr (NB)||Tullamarine Fwy|-37.6805660|144.8697250|Greater Melbourne|1||0
16|M1 Inbound - Just Before Stud Rd Exit Ramp||M1 Monash/West Gate Fwy|-37.9640370|145.2308710|Greater Melbourne|1||1
160|Tullamarine FWY Inbound - Apac Dr entry ramp bullnose (SB)||Tullamarine Fwy|-37.6772820|144.8649130|Greater Melbourne|1||1
161|Tullamarine FWY Outbound - Before Terminal Dr Exit (NB)||Tullamarine Fwy|-37.6772870|144.8644780|Greater Melbourne|1||1
162|Tullamarine FWY Outbound - After Terminal Dr Exit (NB)||Tullamarine Fwy|-37.6755420|144.8591210|Greater Melbourne|1||1
163|Calder FWY Inbound - Before Green Gully Rd Underpass (SB)||Other Metro Road|-37.7099010|144.8253180|Greater Melbourne|1||0
164|M1 Monash Fwy - Between Huntingdale Rd and Forster Rd (EB)||M1 Monash/West Gate Fwy|-37.8889761|145.1151279|Greater Melbourne|0||0
165|M1 Monash Fwy - E of Huntingdale Rd (Nr Stanley Ave) (WB)||M1 Monash/West Gate Fwy|-37.8899699|145.1158842|Greater Melbourne|0||0
166|M1 Inbound - CH 18380||M1 Monash/West Gate Fwy|-37.8918054|145.1204133|Greater Melbourne|1||1
167|M1 Outbound - CH 18380||M1 Monash/West Gate Fwy|-37.8913777|145.1206807|Greater Melbourne|1||1
168|M1 Inbound - CH 18990||M1 Monash/West Gate Fwy|-37.8926660|145.1272235|Greater Melbourne|1||0
169|M1 Outbound - CH 18980||M1 Monash/West Gate Fwy|-37.8922334|145.1272867|Greater Melbourne|1||1
17|M1 Outbound - Just After Stud Rd Entry Ramp||M1 Monash/West Gate Fwy|-37.9637500|145.2312120|Greater Melbourne|1||1
170|M1 Inbound - CH 19450||M1 Monash/West Gate Fwy|-37.8932810|145.1325106|Greater Melbourne|1||1
171|M1 Outbound - CH 19450||M1 Monash/West Gate Fwy|-37.8928255|145.1330004|Greater Melbourne|1||0
172|M1 Inbound - CH 19890||M1 Monash/West Gate Fwy|-37.8937692|145.1374065|Greater Melbourne|1||1
173|M1 Outbound - CH 19890||M1 Monash/West Gate Fwy|-37.8933454|145.1374609|Greater Melbourne|1||1
174|M1 Inbound - CH 20300||M1 Monash/West Gate Fwy|-37.8943428|145.1420023|Greater Melbourne|1||0
175|M1 Outbound - CH 20300||M1 Monash/West Gate Fwy|-37.8939247|145.1422485|Greater Melbourne|1||1
176|M1 Inbound - CH 20770||M1 Monash/West Gate Fwy|-37.8961930|145.1465715|Greater Melbourne|1||1
177|M1 Outbound - CH 20770||M1 Monash/West Gate Fwy|-37.8958502|145.1468698|Greater Melbourne|1||1
178|M1 Inbound - CH 21190||M1 Monash/West Gate Fwy|-37.8990859|145.1495165|Greater Melbourne|1||1
179|M1 Outbound - CH 21190||M1 Monash/West Gate Fwy|-37.8988315|145.1500393|Greater Melbourne|1||1
18|M1 Inbound - After Heatherton Rd Entry Ramp||M1 Monash/West Gate Fwy|-37.9664740|145.2340610|Greater Melbourne|1||1
