site,site_description,latitude,longitude
77,M1 Outbound - after Princes Hwy exit (CH 48050),-38.0593420000,145.367421000000
78,M1 Inbound - Just After Princes Link Hwy,-38.0614450000,145.369262000000
79,M1 Inbound - Just Before Prince Link Hwy,-38.0649190000,145.374048000000
80,M1 Outbound - PMC14154.P02 After Princes Link Hwy,-38.0646940000,145.374302000000
81,M1 Inbound - RCB25157 After Cardinia Creek,-38.0675070000,145.378418000000
82,M1 Inbound - Just Before Cardinia Creek (CH 49815),-38.0696180000,145.382714000000
83,M1 Inbound - outside BP petrol station (CH 50433),-38.0719700000,145.389134000000
84,M1 Outbound - outside BP petrol station (CH 50432),-38.0716410000,145.389230000000
85,M1 Inbound - fifth from Cardinia entry (CH 51095),-38.0737110000,145.396316000000
86,M1 Inbound - fourth from Cardinia entry (CH 51794),-38.0749280000,145.404131000000
87,M1 Inbound - third from Cardinia entry (CH 52296),-38.0756520000,145.409748000000
88,M1 Inbound - Just Before Lower Gum Scrub Creek (CH 52918),-38.0767070000,145.416816000000
89,M1 Inbound - After Cardinia Rd Entry (CH 53510),-38.0775870000,145.423414000000
90,M1 Outbound - before Cardinia exit (CH 53510),-38.0773130000,145.423527000000
91,M1 Inbound - Cardinia Rd (CH 54204),-38.0789500000,145.431118000000
92,M1 Outbound - Cardinia Rd (CH 54189),-38.0785740000,145.431078000000
93,M1 Inbound - PCM14168 Before Cardinia Rd Exit,-38.0827610000,145.444056000000
94,M1 Inbound - RCB25162 After Toomuc Creek,-38.0851510000,145.449611000000
95,M1 Inbound - PMC14170 Before Toomuc Creek,-38.0878850000,145.456096000000
96,M1 Inbound - after McGregor Rd Entry,-38.0894800000,145.461116000000
97,M1 Outbound - PMC14171 Before McGregor Rd Exit,-38.0892310000,145.461326000000
98,M1 Inbound - McGregor entry,-38.0909440000,145.467791000000
99,M1 Outbound - RCB1413 McGregor Rd Exit Bullnose,-38.0906380000,145.467890000000
100,M1 Inbound - PMC14175 Before McGregor Rd,-38.0917380000,145.474545000000
101,M1 Inbound - RCB25164 Just After Koo Wee Rup Rd (FDS03b),-38.0920040000,145.481331000000
102,M1 Outbound - RCB25164 Just Before Koo Wee Rup Rd (FDS03a),-38.0916050000,145.481358000000
103,M1 Inbound - Koo Wee Rup,-38.0920590000,145.487104000000
104,M1 Outbound - Koo Wee Rup,-38.0917680000,145.487136000000
105,M1 Inbound - before Josephine avenue,-38.0075470000,145.299809000000
106,M1 Outbound - Just before Narre Warren Nth Road,-38.0074780000,145.300173000000
107,M80 Outbound - Keilor park off ramp (EB),-37.7439900000,144.843089000000
108,M80 Outbound - Keilor Park Drive Exit (EB),-37.7404750000,144.848908000000
109,M80 Inbound - Just before Keilor Park on ramp (WB),-37.7407310000,144.849283000000
110,M80 Outbound - Beneath Gantry 153 (EB),-37.7360850000,144.852124000000
111,M80 Inbound - Keilor park exit Altona bound (WB),-37.7362430000,144.852594000000
112,M80 Inbound - Keilor Park Drive Exit (WB),-37.7327120000,144.854165000000
113,M80 Outbound - Before Calder Fwy exit (EB),-37.7324920000,144.853752000000
114,M80 Inbound - Altona bound EJ Whitten bridge (WB),-37.7443890000,144.843368000000
115,M1 Before High Street Bridge Inbound (WB),-37.8604740000,145.059234000000
116,Calder FWY Outbound - After gantry M2-138 (WB),-37.7349300000,144.896200000000
117,Tullamarine FWY Outbound - After gantry M2-138 (WB),-37.7347820000,144.896381000000
118,Tullamarine FWY Inbound - Before gantry M2-138 (EB),-37.7346460000,144.896401000000
119,Tullamarine FWY Inbound - Before gantry M2-141 (EB),-37.7341460000,144.893658000000
120,Tullamarine FWY Outbound - Before gantry Tul-508 (WB),-37.7331180000,144.891463000000
121,Tullamarine FWY Outbound - Before gantry M2-146 (NB),-37.7307710000,144.890523000000
122,Tullamarine FWY Inbound - After gantry M2-146 (SB),-37.7307580000,144.890733000000
123,Tullamarine FWY Inbound - After English St exit ramp (SB),-37.7269740000,144.891049000000
