site,site_description,latitude,longitude
499,M1 Monash Fwy - Atkinson Outbound (EB),-37.8858870000,145.103286000000
501,M80 Western Ring Road Inbound (WB),-37.6938130000,144.906353000000
502,M1 Monash Fwy - Heatherton Inbound (WB),-37.9643210000,145.231111000000
503,M1 Monash Fwy - Heatherton Outbound (EB),-37.9637670000,145.231370000000
506,M1 Monash Fwy - Stephensons Inbound (WB),-37.8917680000,145.120425000000
507,M1 Monash Fwy - Stanley Inbound (WB),-37.8900120000,145.115882000000
508,M1 Monash Fwy - Stanley Outbound (EB),-37.8899400000,145.116720000000
509,M1 Monash Fwy - Stephensons Outbound (EB),-37.8913520000,145.120611000000
510,M1 Princes Fwy - Cherry Creek (EB) - WIM,-37.9487920000,144.593019000000
511,M1 Princes Fwy - Cherry Creek HV Outbound (WB),-37.9489930000,144.593586000000
512,M31 Hume Fwy - Wallan Outbound (NB),-37.4167450000,144.995618000000
513,M31 Hume Fwy - Wallan Inbound (SB),-37.4168480000,144.996258000000
514,M79 Calder Fwy - Gisborne Outbound (NB),-37.4779950000,144.600265000000
515,M79 Calder Fwy - Gisborne Inbound (SB),-37.4775560000,144.600486000000
516,M8 Western Fwy - Ballan Inbound (EB),-37.5906950000,144.181610000000
517,M8 Western Fwy - Ballan Outbound (WB),-37.5911140000,144.182456000000
518,M39 Goulburn Valley Fwy - Murchison Inbound (SB),-36.6277340000,145.298289000000
519,M39 Goulburn Valley Fwy - Murchison Outbound (NB),-36.6277080000,145.297738000000
520,M1 Princes Fwy - Yarragon Inbound (WB),-38.2007700000,146.046083000000
521,M1 Princes Fwy - Longwarry Outbound (EB),-38.0849350000,145.762158000000
522,Shepherd Bridge Overheight TIRTL,-37.8065850000,144.908691000000
523,M1 Monash Fwy - W of Stanley (EB),-37.8899400000,145.116720000000
524,High Street Onramp Inbound to Monash Fwy (Top),-37.8591383000,145.058759400000
525,High Street Onramp Inbound to Monash Fwy (Mid),-37.8587650000,145.058661000000
526,High Street Onramp Inbound to Monash Fwy (Before_Stop),-37.8584380000,145.058542000000
527,High Street Onramp Inbound to Monash Fwy (After_Stop),-37.8583990000,145.058524000000
528,A1 Princes Hwy - Lindenow South Eastbound,-37.8781350000,147.435089000000
529,A1 Princes Hwy - Lindenow South Westbound,-37.8780990000,147.435961000000
530,M31 Hume Fwy and Cooper St (NB),-37.6529380000,144.989412000000
531,M31 Hume Fwy and Cooper St (SB),-37.6529950000,144.989942000000
532,Hyde St and York St (NB),-37.8183480000,144.896529000000
533,Hyde St and Berry St (NB),-37.8116380000,144.897943000000
534,M1 Princes Fwy - Cherry Creek HV Inbound (EB),-37.9487850000,144.592977000000
535,Princes Hwy West - Heywood (NB),-38.1987667000,141.615966700000
537,Princes Hwy West - Heywood (SB),-38.1987667000,141.615966700000
538,A79 Calder Hwy - Bendigo Outbound (NB),-36.6650167000,144.041650000000
539,A79 Calder Hwy - Bendigo Outbound (SB),-36.6650167000,144.041650000000
540,Princes Hwy and Federation Trail (EB),-37.8191670000,144.839972000000
549,M1 Monash Fwy - Stanley Inbound,-37.8899699170,145.115884160800
550,M1 Monash Hwy - Stanley Outbound,-37.8889761167,145.115127861600
555,M8 Western Fwy - Ballan Inbound (EB),-37.5906950000,144.181610000000
556,M8 Western Fwy - Ballan Outbound (WB),-37.5911140000,144.182456000000
504,M1 West Gate Bridge Inbound (EB),-37.8309000000,144.900501000000
505,M1 West Gate Bridge Outbound (WB),-37.8308150000,144.900329000000
562,WGT - Distributor Carriageway to Main Carriageway,-37.8266775100,144.818222900000
563,WGT - Inbound Main Carriageway,-37.8293284200,144.815171800000
564,WGT - Inbound Main Carriageway,-37.8264326000,144.819417300000
565,WGT - Inbound Main Carriageway,-37.8255034700,144.824775200000
566,WGT - Inbound Main Carriageway,-37.8254894700,144.828020800000
567,WGT - Inbound Main Carriageway,-37.8314853100,144.811953800000
568,WGT - Inbound M80 Ring Rd to Eastbound Main Carriageway,-37.8256940700,144.820816200000
569,A1 Princes Hwy - Lindenow South Westbound,-37.8780990000,147.435961000000
570,A1 Princes Hwy - Lindenow South Eastbound,-37.8781350000,147.435089000000
579,TSA Temporary OHVD Relocation,-37.8019360000,145.163652000000
580,M1 Monash Hwy - Stanley Outbound,-37.8889761167,145.115127861600
581,M1 Monash Fwy - Stanley Inbound,-37.8899699170,145.115884160800
